Month,Export Country,Export Continent,US Dollar Value,Tonnes,Data Type
Jan,Australia,Oceania,8820273.00,5653.91,Actual
Feb,Australia,Oceania,9588458.48,6535.91,Estimate
Mar,Australia,Oceania,9724467.61,6654.16,Estimate
Apr,Australia,Oceania,9860476.73,6772.40,Estimate
May,Australia,Oceania,9996485.86,6890.64,Estimate
Jun,Australia,Oceania,10132494.98,7008.89,Estimate
Jul,Australia,Oceania,10268504.11,7127.13,Estimate
Aug,Australia,Oceania,10404513.23,7245.37,Estimate
Sep,Australia,Oceania,10540522.36,7363.62,Estimate
Oct,Australia,Oceania,10676531.48,7481.86,Estimate
Nov,Australia,Oceania,10812540.61,7600.10,Estimate
Dec,Australia,Oceania,10948549.73,7718.35,Estimate
Feb,Austria,Europe,60264.99,21.42,Estimate
Mar,Austria,Europe,56019.93,19.05,Estimate
Apr,Austria,Europe,51774.87,16.68,Estimate
May,Austria,Europe,47529.82,14.32,Estimate
Jun,Austria,Europe,43284.76,11.95,Estimate
Jul,Austria,Europe,39039.70,9.58,Estimate
Aug,Austria,Europe,34794.64,7.21,Estimate
Sep,Austria,Europe,30549.59,4.84,Estimate
Oct,Austria,Europe,26304.53,2.48,Estimate
Dec,Austria,Europe,149004.40,41.70,Estimate
Feb,Bahamas,Latin America,44811.27,2.42,Estimate
Mar,Bahamas,Latin America,44967.72,2.51,Estimate
Apr,Bahamas,Latin America,45124.16,2.61,Estimate
May,Bahamas,Latin America,45280.61,2.70,Estimate
Jun,Bahamas,Latin America,45437.06,2.79,Estimate
Jul,Bahamas,Latin America,45593.50,2.89,Estimate
Aug,Bahamas,Latin America,45749.95,2.98,Estimate
Sep,Bahamas,Latin America,45906.40,3.07,Estimate
Oct,Bahamas,Latin America,46062.84,3.17,Estimate
Nov,Bahamas,Latin America,46219.29,3.26,Estimate
Dec,Bahamas,Latin America,46375.74,3.35,Estimate
Jan,Bahrain,Asia,1096595.00,621.90,Actual
Feb,Bahrain,Asia,1316143.88,935.45,Estimate
Mar,Bahrain,Asia,1297023.61,931.57,Estimate
Apr,Bahrain,Asia,1277903.33,927.69,Estimate
May,Bahrain,Asia,1258783.06,923.80,Estimate
Jun,Bahrain,Asia,1239662.78,919.92,Estimate
Jul,Bahrain,Asia,1220542.51,916.04,Estimate
Aug,Bahrain,Asia,1201422.23,912.16,Estimate
Sep,Bahrain,Asia,1182301.95,908.28,Estimate
Oct,Bahrain,Asia,1163181.68,904.39,Estimate
Nov,Bahrain,Asia,1144061.40,900.51,Estimate
Dec,Bahrain,Asia,1124941.13,896.63,Estimate
Jan,Belgium,Europe,2117918.00,1411.52,Actual
Feb,Belgium,Europe,1289676.50,1066.29,Estimate
Mar,Belgium,Europe,1176847.13,1008.90,Estimate
Apr,Belgium,Europe,1064017.76,951.50,Estimate
May,Belgium,Europe,951188.39,894.11,Estimate
Jun,Belgium,Europe,838359.01,836.72,Estimate
Jul,Belgium,Europe,725529.64,779.33,Estimate
Aug,Belgium,Europe,612700.27,721.93,Estimate
Sep,Belgium,Europe,499870.90,664.54,Estimate
Oct,Belgium,Europe,387041.53,607.15,Estimate
Nov,Belgium,Europe,274212.16,549.75,Estimate
Dec,Belgium,Europe,161382.79,492.36,Estimate
Jan,Belize,Latin America,29720.00,21.00,Actual
Jan,Benin,Africa,1300546.00,857.44,Actual
Feb,Benin,Africa,1147396.60,835.40,Estimate
Mar,Benin,Africa,1159186.95,846.70,Estimate
Apr,Benin,Africa,1170977.30,858.00,Estimate
May,Benin,Africa,1182767.65,869.30,Estimate
Jun,Benin,Africa,1194558.00,880.60,Estimate
Jul,Benin,Africa,1206348.34,891.90,Estimate
Aug,Benin,Africa,1218138.69,903.20,Estimate
Sep,Benin,Africa,1229929.04,914.50,Estimate
Oct,Benin,Africa,1241719.39,925.80,Estimate
Nov,Benin,Africa,1253509.74,937.10,Estimate
Dec,Benin,Africa,1265300.08,948.40,Estimate
Jan,Bolivia (Plurinational State of),Latin America,39961.00,22.80,Actual
Feb,Bolivia (Plurinational State of),Latin America,35471.19,7.99,Estimate
Mar,Bolivia (Plurinational State of),Latin America,35766.45,8.18,Estimate
Apr,Bolivia (Plurinational State of),Latin America,36061.70,8.37,Estimate
May,Bolivia (Plurinational State of),Latin America,36356.95,8.56,Estimate
Jun,Bolivia (Plurinational State of),Latin America,36652.21,8.76,Estimate
Jul,Bolivia (Plurinational State of),Latin America,36947.46,8.95,Estimate
Aug,Bolivia (Plurinational State of),Latin America,37242.71,9.14,Estimate
Sep,Bolivia (Plurinational State of),Latin America,37537.97,9.33,Estimate
Oct,Bolivia (Plurinational State of),Latin America,37833.22,9.52,Estimate
Nov,Bolivia (Plurinational State of),Latin America,38128.48,9.71,Estimate
Dec,Bolivia (Plurinational State of),Latin America,38423.73,9.90,Estimate
Feb,Botswana,Africa,15002.58,3.37,Estimate
Mar,Botswana,Africa,15062.55,3.42,Estimate
Apr,Botswana,Africa,15122.53,3.47,Estimate
May,Botswana,Africa,15182.51,3.52,Estimate
Jun,Botswana,Africa,15242.48,3.56,Estimate
Jul,Botswana,Africa,15302.46,3.61,Estimate
Aug,Botswana,Africa,15362.44,3.66,Estimate
Sep,Botswana,Africa,15422.42,3.71,Estimate
Oct,Botswana,Africa,15482.39,3.75,Estimate
Nov,Botswana,Africa,15542.37,3.80,Estimate
Dec,Botswana,Africa,15602.35,3.85,Estimate
Jan,Brazil,Latin America,759140.00,471.89,Actual
Feb,Brazil,Latin America,461342.58,280.60,Estimate
Mar,Brazil,Latin America,472067.05,288.11,Estimate
Apr,Brazil,Latin America,482791.52,295.63,Estimate
May,Brazil,Latin America,493515.99,303.14,Estimate
Jun,Brazil,Latin America,504240.46,310.66,Estimate
Jul,Brazil,Latin America,514964.93,318.17,Estimate
Aug,Brazil,Latin America,525689.41,325.69,Estimate
Sep,Brazil,Latin America,536413.88,333.20,Estimate
Oct,Brazil,Latin America,547138.35,340.71,Estimate
Nov,Brazil,Latin America,557862.82,348.23,Estimate
Dec,Brazil,Latin America,568587.29,355.74,Estimate
Jan,Bulgaria,Europe,95345.00,68.00,Actual
Feb,Bulgaria,Europe,139087.92,107.20,Estimate
Mar,Bulgaria,Europe,134535.68,105.61,Estimate
Apr,Bulgaria,Europe,129983.44,104.01,Estimate
May,Bulgaria,Europe,125431.21,102.42,Estimate
Jun,Bulgaria,Europe,120878.97,100.83,Estimate
Jul,Bulgaria,Europe,116326.73,99.23,Estimate
Aug,Bulgaria,Europe,111774.50,97.64,Estimate
Sep,Bulgaria,Europe,107222.26,96.05,Estimate
Oct,Bulgaria,Europe,102670.02,94.45,Estimate
Nov,Bulgaria,Europe,98117.79,92.86,Estimate
Dec,Bulgaria,Europe,93565.55,91.27,Estimate
Feb,Cameroon,Africa,63790.16,9.48,Estimate
Mar,Cameroon,Africa,63696.23,9.51,Estimate
Apr,Cameroon,Africa,63602.30,9.54,Estimate
May,Cameroon,Africa,63508.37,9.57,Estimate
Jun,Cameroon,Africa,63414.44,9.60,Estimate
Jul,Cameroon,Africa,63320.51,9.63,Estimate
Aug,Cameroon,Africa,63226.57,9.66,Estimate
Sep,Cameroon,Africa,63132.64,9.69,Estimate
Oct,Cameroon,Africa,63038.71,9.73,Estimate
Nov,Cameroon,Africa,62944.78,9.76,Estimate
Dec,Cameroon,Africa,62850.85,9.79,Estimate
Jan,Canada,North America,93363.00,65.00,Actual
Feb,Canada,North America,645474.48,453.29,Estimate
Mar,Canada,North America,656338.86,462.07,Estimate
Apr,Canada,North America,667203.23,470.84,Estimate
May,Canada,North America,678067.61,479.62,Estimate
Jun,Canada,North America,688931.98,488.39,Estimate
Jul,Canada,North America,699796.36,497.17,Estimate
Aug,Canada,North America,710660.73,505.95,Estimate
Sep,Canada,North America,721525.11,514.72,Estimate
Oct,Canada,North America,732389.48,523.50,Estimate
Nov,Canada,North America,743253.85,532.27,Estimate
